t,m,b,sector,coherence,fragmentation,matched_decoder,wrong_decoder,lag_decoder,matched_error,wrong_error,lag_error
666.0,1.0000021244225834,1.000008786907344,1.0,1.0,0.0,1.0000030754175704,-0.29999692458242966,1.0000030754175704,9.509949869812573e-07,1.299999049005013,9.509949869812573e-07
667.0,1.0000496305190603,1.0000150358965945,1.0,1.0,0.0,1.000005262563808,-0.299994737436192,1.000005262563808,4.4367955252200275e-05,1.3000443679552522,4.4367955252200275e-05
668.0,0.9998201498588739,0.999881445468807,1.0,1.0,0.0,0.9999585059140824,-0.3000414940859176,0.9999585059140824,0.00013835605520851058,1.2998616439447916,0.00013835605520851058
669.0,0.999769982624503,0.9997777463812676,1.0,1.0,0.0,0.9999222112334436,-0.30007778876655633,0.9999222112334436,0.00015222860894059664,1.2998477713910592,0.00015222860894059664
670.0,0.9997069376419719,0.9995254945670353,1.0,1.0,0.0,0.9998339230984623,-0.3001660769015376,0.9998339230984623,0.0001269854564903694,1.2998730145435096,0.0001269854564903694
671.0,0.9997306642659111,0.9997916440579058,1.0,1.0,0.0,0.999927075420267,-0.300072924579733,0.999927075420267,0.0001964111543559799,1.299803588845644,0.0001964111543559799
672.0,0.9997258927287294,0.9997672036656067,1.0,1.0,0.0,0.9999185212829623,-0.3000814787170377,0.9999185212829623,0.00019262855423296532,1.299807371445767,0.00019262855423296532
673.0,0.9997950589535605,0.9999317933946763,1.0,1.0,0.0,0.9999761276881367,-0.30002387231186334,0.9999761276881367,0.00018106873457623962,1.2998189312654238,0.00018106873457623962
674.0,0.9998069017355462,0.999978676081718,1.0,1.0,0.0,0.9999925366286013,-0.3000074633713987,0.9999925366286013,0.00018563489305511993,1.299814365106945,0.00018563489305511993
675.0,0.9998220574678751,1.0001401164231973,1.0,1.0,0.0,1.000049040748119,-0.299950959251881,1.000049040748119,0.0002269832802439531,1.299773016719756,0.0002269832802439531
676.0,0.999883074958701,1.0002708083128895,1.0,1.0,0.0,1.0000947829095113,-0.2999052170904887,1.0000947829095113,0.00021170795081026927,1.2997882920491897,0.00021170795081026927
677.0,0.9998949042876667,1.0001689149149802,1.0,1.0,0.0,1.0000591202202431,-0.29994087977975703,1.0000591202202431,0.00016421593257642808,1.2998357840674237,0.00016421593257642808
678.0,0.9999621592880513,1.00033765574753,1.0,1.0,0.0,1.0001181795116356,-0.29988182048836454,1.0001181795116356,0.00015602022358429668,1.2998439797764159,0.00015602022358429668
679.0,0.9999039927962337,1.0001489109352089,1.0,1.0,0.0,1.000052118827323,-0.2999478811726769,1.000052118827323,0.0001481260310893795,1.2998518739689104,0.0001481260310893795
680.0,0.9998617364666085,1.000312494897304,1.0,1.0,0.0,1.0001093732140565,-0.2998906267859438,1.0001093732140565,0.0002476367474479879,1.2997523632525523,0.0002476367474479879
681.0,0.999793052258513,1.0001675596011008,1.0,1.0,0.0,1.0000586458603853,-0.29994135413961476,1.0000586458603853,0.00026559360187228265,1.2997344063981278,0.00026559360187228265
682.0,0.9997505266381174,1.0001614550239855,1.0,1.0,0.0,1.0000565092583948,-0.2999434907416051,1.0000565092583948,0.00030598262027747847,1.2996940173797225,0.00030598262027747847
683.0,0.9997002319427593,1.000275583857686,1.0,1.0,0.0,1.00009645435019,-0.2999035456498099,1.00009645435019,0.00039622240743075743,1.2996037775925693,0.00039622240743075743
684.0,0.9997232673051373,1.0001683476485264,1.0,1.0,0.0,1.0000589216769842,-0.29994107832301586,1.0000589216769842,0.00033565437184690516,1.2996643456281531,0.00033565437184690516
